description,amount_per_100g,amount_per_cup
Tea -  hot -  chamomile,0.0,0.0
Tea -  hot -  with milk,0.1,0.24
Tea -  ginger,0.0,0.0
Tea -  bubble,0.2,0.48
Slush frozen drink,0.0,0.0
Oatmeal beverage with water,0.0,0.0
Oatmeal beverage with milk,0.2,0.496
Cornmeal beverage,0.1,0.248
Water -  NFS,0.0,0.0
Water -  tap,0.0,0.0
Water -  bottled -  plain,0.0,0.0
Water beverage -  fruit flavored,0.0,0.0
Water -  enhanced -  regular,0.0,0.0
Water -  enhanced -  diet,0.0,0.0
Water -  baby,0.0,0.0
Energy drink (Full Throttle),0.0,0.0
Energy drink (No Fear),0.0,0.0
Energy drink (NOS),0.0,0.0
Energy drink (Red Bull),0.0,0.0
Energy drink (Rockstar),0.0,0.0
Energy drink (Vault),0.0,0.0
Energy Drink,0.0,0.0
Energy drink -  sugar-free (NOS),0.0,0.0
Energy drink (XS),0.0,0.0
Energy drink (XS Gold Plus),0.0,0.0
Energy drink -  sugar free,0.0,0.0
Sports drink (Gatorade G),0.2,0.496
Sports drink (Powerade),0.0,0.0
Sports drink -  NFS,0.2,0.496
Sports drink -  low calorie,0.2,0.48
